        31394141 function calls (28555966 primitive calls) in 21.487 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.028    0.028 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/sites.py:320(each_context)
        1    0.000    0.000    0.028    0.028 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/sites.py:531(get_app_list)
        1    0.000    0.000    0.028    0.028 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/sites.py:459(_build_app_dict)
  805/803    0.001    0.000    0.028    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/functional.py:264(inner)
        5    0.000    0.000    0.026    0.005 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/functional.py:418(_setup)
        2    0.000    0.000    0.025    0.012 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/sites.py:198(has_permission)
       98    0.001    0.000    0.025    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/MySQLdb/cursors.py:365(_post_get_result)
        1    0.000    0.000    0.025    0.025 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/auth/middleware.py:25(<lambda>)
        1    0.000    0.000    0.025    0.025 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/auth/middleware.py:9(get_user)
        1    0.000    0.000    0.025    0.025 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/auth/__init__.py:182(get_user)
      258    0.000    0.000    0.024    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/engine.py:197(select_template)
   100156    0.024    0.000    0.024    0.000 /Users/miguel/work/recetas/recetas/models/insumo.py:15(__str__)
     1023    0.002    0.000    0.024    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/linecache.py:52(checkcache)
       98    0.000    0.000    0.024    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/MySQLdb/cursors.py:336(_fetch_row)
       98    0.024    0.000    0.024    0.000 {method 'fetch_row' of '_mysql.result' objects}
       98    0.001    0.000    0.023    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/sql/compiler.py:78(pre_sql_setup)
